input_bit,output_bit,probability
0,891,0.464844
0,892,0.466797
0,893,0.476562
0,894,0.494141
0,895,0.457031
0,896,0.529297
0,897,0.503906
0,898,0.451172
0,899,0.468750
0,900,0.486328
0,901,0.482422
0,902,0.484375
0,903,0.529297
0,904,0.484375
0,905,0.523438
0,906,0.464844
0,907,0.488281
0,908,0.474609
0,909,0.511719
0,910,0.494141
0,911,0.474609
0,912,0.507812
0,913,0.507812
0,914,0.517578
0,915,0.554688
0,916,0.511719
0,917,0.468750
0,918,0.478516
0,919,0.527344
0,920,0.500000
0,921,0.492188
0,922,0.486328
0,923,0.494141
0,924,0.472656
0,925,0.488281
0,926,0.486328
0,927,0.478516
0,928,0.457031
0,929,0.421875
0,930,0.492188
0,931,0.507812
0,932,0.494141
0,933,0.519531
0,934,0.494141
0,935,0.505859
0,936,0.458984
0,937,0.472656
0,938,0.511719
0,939,0.509766
0,940,0.531250
0,941,0.494141
0,942,0.537109
0,943,0.445312
0,944,0.474609
0,945,0.531250
0,946,0.505859
0,947,0.509766
0,948,0.501953
0,949,0.511719
0,950,0.511719
0,951,0.490234
0,952,0.492188
0,953,0.496094
0,954,0.501953
0,955,0.468750
0,956,0.480469
0,957,0.519531
0,958,0.462891
0,959,0.480469
0,960,0.501953
0,961,0.505859
0,962,0.527344
0,963,0.509766
0,964,0.494141
0,965,0.519531
0,966,0.505859
0,967,0.466797
0,968,0.480469
0,969,0.519531
0,970,0.490234
0,971,0.529297
0,972,0.500000
0,973,0.484375
0,974,0.470703
0,975,0.470703
0,976,0.517578
0,977,0.509766
0,978,0.517578
0,979,0.472656
0,980,0.451172
0,981,0.496094
0,982,0.496094
0,983,0.492188
0,984,0.492188
0,985,0.515625
0,986,0.507812
0,987,0.494141
0,988,0.517578
0,989,0.474609
0,990,0.498047
0,991,0.505859
0,992,0.480469
0,993,0.523438
0,994,0.496094
0,995,0.498047
0,996,0.480469
0,997,0.517578
0,998,0.482422
0,999,0.542969
0,1000,0.472656
0,1001,0.544922
0,1002,0.511719
0,1003,0.498047
0,1004,0.519531
0,1005,0.527344
0,1006,0.537109
0,1007,0.496094
0,1008,0.531250
0,1009,0.548828
0,1010,0.492188
0,1011,0.482422
0,1012,0.509766
0,1013,0.513672
0,1014,0.480469
0,1015,0.460938
0,1016,0.519531
0,1017,0.501953
0,1018,0.509766
0,1019,0.468750
0,1020,0.482422
0,1021,0.468750
0,1022,0.482422
0,1023,0.470703
