bit,probability_one
769,0.497070
770,0.515625
771,0.503906
772,0.500000
773,0.484375
774,0.502930
775,0.509766
776,0.473633
777,0.499023
778,0.491211
779,0.500000
780,0.501953
781,0.485352
782,0.491211
783,0.486328
784,0.472656
785,0.497070
786,0.511719
787,0.504883
788,0.491211
789,0.500977
790,0.496094
791,0.496094
792,0.505859
793,0.472656
794,0.480469
795,0.487305
796,0.501953
797,0.487305
798,0.499023
799,0.497070
800,0.489258
801,0.524414
802,0.487305
803,0.505859
804,0.509766
805,0.498047
806,0.493164
807,0.499023
808,0.507812
809,0.522461
810,0.506836
811,0.504883
812,0.500977
813,0.510742
814,0.482422
815,0.487305
816,0.488281
817,0.493164
818,0.484375
819,0.497070
820,0.494141
821,0.501953
822,0.506836
823,0.466797
824,0.505859
825,0.516602
826,0.495117
827,0.506836
828,0.483398
829,0.469727
830,0.505859
831,0.514648
832,0.512695
833,0.506836
834,0.478516
835,0.482422
836,0.496094
837,0.494141
838,0.480469
839,0.481445
840,0.500000
841,0.500000
842,0.497070
843,0.475586
844,0.521484
845,0.459961
846,0.531250
847,0.525391
848,0.511719
849,0.513672
850,0.500977
851,0.473633
852,0.493164
853,0.528320
854,0.493164
855,0.512695
856,0.499023
857,0.480469
858,0.498047
859,0.510742
860,0.497070
861,0.517578
862,0.493164
863,0.497070
864,0.500977
865,0.497070
866,0.541992
867,0.503906
868,0.489258
869,0.491211
870,0.506836
871,0.484375
872,0.533203
873,0.486328
874,0.514648
875,0.500000
876,0.508789
877,0.511719
878,0.499023
879,0.498047
880,0.531250
881,0.524414
882,0.517578
883,0.493164
884,0.511719
885,0.470703
886,0.475586
887,0.507812
888,0.496094
889,0.484375
890,0.473633
891,0.509766
892,0.516602
893,0.504883
894,0.508789
895,0.504883
896,0.506836
897,0.517578
898,0.510742
899,0.500000
900,0.508789
901,0.516602
902,0.497070
903,0.485352
904,0.501953
905,0.486328
906,0.505859
907,0.523438
908,0.529297
909,0.512695
910,0.474609
911,0.511719
912,0.499023
913,0.490234
914,0.512695
915,0.529297
916,0.481445
917,0.498047
918,0.498047
919,0.502930
920,0.506836
921,0.494141
922,0.498047
923,0.514648
924,0.488281
925,0.500000
926,0.508789
927,0.500977
928,0.503906
929,0.496094
930,0.479492
931,0.496094
932,0.512695
933,0.520508
934,0.526367
935,0.488281
936,0.486328
937,0.520508
938,0.513672
939,0.496094
940,0.539062
941,0.499023
942,0.480469
943,0.518555
944,0.502930
945,0.468750
946,0.487305
947,0.493164
948,0.499023
949,0.511719
950,0.484375
951,0.482422
952,0.498047
953,0.496094
954,0.515625
955,0.480469
956,0.504883
957,0.531250
958,0.505859
959,0.499023
960,0.487305
961,0.523438
962,0.496094
963,0.497070
964,0.519531
965,0.482422
966,0.490234
967,0.463867
968,0.488281
969,0.521484
970,0.503906
971,0.515625
972,0.518555
973,0.476562
974,0.505859
975,0.491211
976,0.483398
977,0.481445
978,0.517578
979,0.491211
980,0.520508
981,0.490234
982,0.506836
983,0.523438
984,0.514648
985,0.505859
986,0.483398
987,0.473633
988,0.492188
989,0.521484
990,0.481445
991,0.498047
992,0.490234
993,0.512695
994,0.487305
995,0.533203
996,0.509766
997,0.507812
998,0.508789
999,0.475586
1000,0.515625
1001,0.492188
1002,0.513672
1003,0.494141
1004,0.491211
1005,0.482422
1006,0.506836
1007,0.516602
1008,0.506836
1009,0.511719
1010,0.515625
1011,0.485352
1012,0.469727
1013,0.478516
1014,0.511719
1015,0.520508
1016,0.500000
1017,0.508789
1018,0.500000
1019,0.512695
1020,0.504883
1021,0.487305
1022,0.501953
1023,0.483398
